# PSIBLAST 2.6.0+
# Iteration: 1
# Query: NTP_transf_2 | Q60856.3 | NP_001077394.1 | 47.06%
# Database: /home/alex/Documents/data/local_db/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 30 hits found
NTP_transf_2	Q60856	100.000	376	0	0	1	376	1	376	0.0	778
NTP_transf_2	Q5BKD0	71.429	378	104	1	1	374	1	378	0.0	523
NTP_transf_2	P11928	66.573	356	114	2	1	351	1	356	1.06e-164	468
NTP_transf_2	Q05961	66.571	350	112	2	1	345	1	350	1.41e-160	457
NTP_transf_2	P00973	60.819	342	128	3	4	340	3	343	8.93e-132	385
NTP_transf_2	Q29599	57.558	344	141	2	4	342	2	345	2.53e-128	375
NTP_transf_2	Q924S2	54.366	355	152	5	1	345	1	355	3.14e-122	360
NTP_transf_2	Q8VI95	54.085	355	152	6	1	345	1	354	6.23e-115	341
NTP_transf_2	Q9Y6K5	47.159	352	173	9	1	346	743	1087	1.33e-87	289
NTP_transf_2	Q9Y6K5	39.429	350	193	8	1	342	404	742	1.03e-65	228
NTP_transf_2	Q9Y6K5	38.617	347	201	6	4	343	2	343	5.42e-60	212
NTP_transf_2	P29728	45.272	349	178	7	5	344	340	684	2.14e-84	273
NTP_transf_2	P29728	35.562	329	198	7	2	327	5	322	1.31e-50	183
NTP_transf_2	Q5MYT7	45.402	348	177	9	5	346	797	1137	3.40e-84	280
NTP_transf_2	Q5MYT7	38.920	352	191	8	1	342	455	792	1.67e-64	225
NTP_transf_2	Q5MYT7	38.936	357	203	7	4	354	2	349	1.81e-62	219
NTP_transf_2	Q5MYU0	43.440	343	185	6	9	344	374	714	1.35e-83	272
NTP_transf_2	Q5MYU0	34.756	328	191	10	2	324	41	350	3.64e-44	165
NTP_transf_2	E9Q9A9	43.567	342	185	6	9	344	383	722	2.01e-80	264
NTP_transf_2	E9Q9A9	35.813	363	196	15	5	358	57	391	2.06e-49	180
NTP_transf_2	Q8VI93	44.023	343	179	9	10	346	803	1138	3.05e-78	264
NTP_transf_2	Q8VI93	38.286	350	196	8	1	342	456	793	4.67e-64	224
NTP_transf_2	Q8VI93	38.483	356	206	7	4	354	2	349	3.07e-60	213
NTP_transf_2	F1N3B8	41.642	341	191	5	9	343	345	683	5.39e-76	251
NTP_transf_2	F1N3B8	38.226	327	190	8	2	325	5	322	2.72e-56	199
NTP_transf_2	Q9Z2F2	37.685	337	193	7	4	328	6	337	6.72e-61	207
NTP_transf_2	Q8VI94	36.261	353	203	10	1	342	3	344	2.85e-53	187
NTP_transf_2	G3V645	35.028	354	207	11	1	342	3	345	1.91e-50	179
NTP_transf_2	Q5MYT9	34.524	336	204	7	4	328	6	336	2.26e-50	179
NTP_transf_2	Q15646	33.523	352	214	9	3	342	5	348	9.67e-46	167
# PSIBLAST 2.6.0+
# Iteration: 2
# Query: NTP_transf_2 | Q60856.3 | NP_001077394.1 | 47.06%
# Database: /home/alex/Documents/data/local_db/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 30 hits found
NTP_transf_2	Q60856	100.000	376	0	0	1	376	1	376	0.0	582
NTP_transf_2	Q5BKD0	71.429	378	104	1	1	374	1	378	0.0	575
NTP_transf_2	P11928	64.578	367	125	2	1	362	1	367	0.0	566
NTP_transf_2	Q05961	66.286	350	113	2	1	345	1	350	0.0	558
NTP_transf_2	P00973	59.942	347	133	3	4	345	3	348	0.0	545
NTP_transf_2	Q29599	57.267	344	142	2	4	342	2	345	0.0	534
NTP_transf_2	Q5MYT7	44.602	352	182	8	1	346	793	1137	2.13e-172	513
NTP_transf_2	Q5MYT7	38.764	356	205	7	4	354	2	349	6.73e-110	349
NTP_transf_2	Q5MYT7	36.957	368	211	8	1	359	455	810	9.54e-108	344
NTP_transf_2	Q9Y6K5	46.591	352	175	8	1	346	743	1087	2.91e-170	506
NTP_transf_2	Q9Y6K5	37.705	366	210	8	1	358	404	759	6.07e-113	356
NTP_transf_2	Q9Y6K5	37.921	356	206	8	4	352	2	349	1.66e-106	339
NTP_transf_2	Q924S2	53.803	355	154	4	1	345	1	355	3.55e-170	482
NTP_transf_2	P29728	44.444	351	186	6	1	344	336	684	1.38e-169	493
NTP_transf_2	P29728	33.702	362	221	10	2	358	5	352	9.58e-95	301
NTP_transf_2	Q8VI93	42.816	348	186	8	5	346	798	1138	1.24e-168	504
NTP_transf_2	Q8VI93	37.921	356	208	7	4	354	2	349	8.37e-107	341
NTP_transf_2	Q8VI93	36.798	356	201	9	1	346	456	797	2.53e-103	332
NTP_transf_2	F1N3B8	40.974	349	198	5	1	343	337	683	1.57e-168	490
NTP_transf_2	F1N3B8	35.635	362	215	10	2	358	5	353	9.93e-101	316
NTP_transf_2	Q8VI95	53.803	355	153	6	1	345	1	354	6.04e-166	471
NTP_transf_2	Q5MYU0	43.314	344	186	6	8	344	373	714	7.14e-166	484
NTP_transf_2	Q5MYU0	31.233	365	220	12	2	358	41	382	2.96e-81	266
NTP_transf_2	E9Q9A9	43.353	346	188	6	5	344	379	722	2.74e-165	483
NTP_transf_2	E9Q9A9	34.903	361	202	14	5	358	57	391	4.46e-87	281
NTP_transf_2	Q9Z2F2	36.313	358	209	8	3	348	5	355	7.94e-155	448
NTP_transf_2	Q8VI94	35.655	359	209	10	1	348	3	350	1.56e-153	445
NTP_transf_2	Q5MYT9	33.521	355	215	8	3	346	5	349	4.98e-150	436
NTP_transf_2	G3V645	33.983	359	216	10	1	348	3	351	1.18e-149	435
NTP_transf_2	Q15646	32.493	357	223	8	3	348	5	354	4.26e-149	434

Search has CONVERGED!
# BLAST processed 2 queries
