# PSIBLAST 2.6.0+
# Iteration: 1
# Query: Peptidase_M16 | P32551.2 | NP_001006971.1 | 99.3%
# Database: /home/alex/Documents/data/local_db/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 51 hits found
Peptidase_M16	P32551	100.000	452	0	0	1	452	1	452	0.0	922
Peptidase_M16	Q9DB77	95.585	453	19	1	1	452	1	453	0.0	884
Peptidase_M16	P23004	83.885	453	72	1	1	452	1	453	0.0	788
Peptidase_M16	P22695	83.664	453	73	1	1	452	1	453	0.0	776
Peptidase_M16	Q9ZU25	32.168	429	280	4	32	452	73	498	5.50e-62	212
Peptidase_M16	O04308	31.221	426	288	3	32	452	69	494	9.73e-59	203
Peptidase_M16	P29677	28.899	436	303	4	22	450	60	495	3.30e-48	175
Peptidase_M16	Q9CXT8	27.790	457	299	13	11	452	40	480	2.23e-40	154
Peptidase_M16	Q03346	28.446	457	296	14	11	452	40	480	2.67e-39	150
Peptidase_M16	Q3SZ71	28.217	443	297	11	24	452	46	481	1.59e-38	149
Peptidase_M16	Q42290	28.009	432	289	12	32	447	92	517	2.03e-38	149
Peptidase_M16	Q5R513	26.160	474	314	11	9	447	29	501	4.13e-38	148
Peptidase_M16	Q54F93	28.471	425	288	12	37	452	22	439	7.03e-38	146
Peptidase_M16	P10507	27.126	435	278	11	40	447	29	451	2.98e-37	145
Peptidase_M16	Q10713	25.738	474	316	11	9	447	29	501	3.75e-37	145
Peptidase_M16	Q0P5M8	25.527	474	317	11	9	447	29	501	4.19e-37	145
Peptidase_M16	Q9DC61	25.053	471	317	10	12	447	31	500	2.14e-36	143
Peptidase_M16	O75439	27.397	438	297	11	24	447	45	475	4.03e-36	142
Peptidase_M16	Q5REK3	27.397	438	297	11	24	447	45	475	1.13e-35	140
Peptidase_M16	P43264	26.714	423	268	13	42	431	32	445	2.95e-34	137
Peptidase_M16	P11913	28.538	431	266	16	40	443	43	458	1.96e-33	134
Peptidase_M16	Q00302	28.741	421	278	13	24	431	23	434	4.09e-33	133
Peptidase_M16	P20069	25.265	471	316	12	12	447	31	500	8.28e-33	133
Peptidase_M16	O94745	25.111	450	311	10	12	441	30	473	4.28e-32	131
Peptidase_M16	P11914	27.488	422	287	8	37	441	19	438	3.61e-31	128
